Benchmark Type,Test Name,Kernel ID,Thread block Limit SM,Thread block limit registers,Thread block limit shared memory,Thread block limit warps,Theoretical max active warps per SM,Theoretical occupancy,Achieved active warps per SM,Achieved occupancy,Unified L1 cache hit rate,Unified L1 cache hit rate for read transactions (global memory accesses),L2 cache hit rate,GMEM read requests,GMEM write requests,GMEM total requests,GMEM read transactions,GMEM write transactions,GMEM total transactions,Number of read transactions per read requests,Number of write transactions per write requests,L2 read transactions,L2 write transactions,L2 total transactions,DRAM total transactions,Total number of global atomic requests,Total number of global reduction requests,Global memory atomic and reduction transactions,GPU active cycles,SM active cycles,Warp instructions executed,Instructions executed per clock cycle (IPC),Total instructions executed per seconds (MIPS),Kernel execution time (ns),Unified L1 cache total requests,Unified L2 cache total requests
standard,window-1024.base,0,32.0,4.0,32.0,8.0,32.0,50.0,27.82431241593618,43.47548814990028,50.0,0.0,98.35351736010422,0.0,65536.0,65536.0,0.0,131072.0,131072.0,0.0,2.0,0.0,131072.0,131072.0,4.0,0.0,0.0,0.0,22388.0,20020.928571428572,2884608.0,2.301338388190017,2123.633622314361,24256.0,65536.0,59566.0
standard,window-1024.base,1,32.0,4.0,32.0,8.0,32.0,50.0,27.678909025448476,43.24829535226324,50.0,0.0,99.60290638729299,0.0,16384.0,16384.0,0.0,32768.0,32768.0,0.0,2.0,0.0,32768.0,32768.0,4.0,0.0,0.0,0.0,11915.0,9721.32142857143,1304064.0,1.9555640865684532,1792.3997185080925,12992.0,16384.0,15618.0
standard,window-1024.base,2,32.0,4.0,32.0,8.0,32.0,50.0,27.671263886285878,43.236349822321685,50.0,0.0,97.5794074469505,0.0,16384.0,16384.0,0.0,32768.0,32768.0,0.0,2.0,0.0,32768.0,32768.0,0.0,0.0,0.0,0.0,11988.0,9718.607142857143,1304064.0,1.943527209535931,1787.9957879957879,13024.0,16384.0,15662.0
standard,window-1024.base,3,32.0,2.0,2.0,16.0,8.0,12.5,7.295855092932847,11.399773582707573,15.403995051085568,0.0,80.33302362521115,73728.0,10240.0,83968.0,1179648.0,133120.0,1312768.0,16.0,13.0,1180400.0,239616.0,1420016.0,196848.0,0.0,0.0,0.0,83324.0,62079.19642857143,4120576.0,0.8831457196781513,814.2452448401457,90368.0,156672.0,355187.0
standard,window-1024.base,4,32.0,2.0,2.0,16.0,8.0,12.5,7.334840091995827,11.46068764374348,16.16703583971903,0.0,80.19651183217236,73728.0,10240.0,83968.0,1179648.0,133120.0,1312768.0,16.0,13.0,1180616.0,239616.0,1420232.0,196840.0,0.0,0.0,0.0,83648.0,61982.625,4120576.0,0.8797510054874271,811.9451170298629,90624.0,156672.0,355202.0
standard,window-1024.base,5,32.0,2.0,2.0,16.0,8.0,12.5,7.295701987073606,11.39953435480251,16.137352330779052,0.0,80.129736788565,73728.0,10240.0,83968.0,1179648.0,133120.0,1312768.0,16.0,13.0,1180924.0,239616.0,1420540.0,196808.0,0.0,0.0,0.0,83771.0,61980.05357142857,4120576.0,0.8784486548183635,810.5141245782769,90784.0,156672.0,355249.0
standard,window-1024.base,6,32.0,2.0,2.0,16.0,8.0,12.5,7.312392313707038,11.425612990167247,16.17377075351213,0.0,79.87395872260514,73728.0,10240.0,83968.0,1179648.0,133120.0,1312768.0,16.0,13.0,1180720.0,239616.0,1420336.0,196844.0,0.0,0.0,0.0,83895.0,61935.857142857145,4120576.0,0.8771396981784015,811.0859158478207,90720.0,156672.0,355229.0
standard,window-1024.base,7,32.0,2.0,2.0,16.0,8.0,12.5,7.3008099835096285,11.407515599233795,16.128123004469987,0.0,79.91045381378198,73728.0,10240.0,83968.0,1179648.0,133120.0,1312768.0,16.0,13.0,1180680.0,239616.0,1420296.0,196884.0,0.0,0.0,0.0,84192.0,61919.25,4120576.0,0.8740452072746032,807.1002356716643,91168.0,156672.0,355230.0
standard,window-1024.base,8,32.0,2.0,2.0,16.0,8.0,12.5,7.2941997239867264,11.39718706872926,16.111909323116215,0.0,80.24362530158893,73728.0,10240.0,83968.0,1179648.0,133120.0,1312768.0,16.0,13.0,1180808.0,239616.0,1420424.0,196856.0,0.0,0.0,0.0,83315.0,62095.875,4120576.0,0.8832676334094296,814.2452448401458,90368.0,156672.0,355305.0
standard,window-1024.base,9,32.0,2.0,2.0,16.0,8.0,12.5,7.301575918213453,11.408712372208521,16.123383620689655,0.0,80.23952946272753,73728.0,10240.0,83968.0,1179648.0,133120.0,1312768.0,16.0,13.0,1180756.0,239616.0,1420372.0,196852.0,0.0,0.0,0.0,83872.0,61901.55357142857,4120576.0,0.8773907151821461,809.0881672866192,90944.0,156672.0,355249.0
